,Lemma,target_canonical,target_relemmatized,emlap_instances_N,noscemus_instances_N,cc_instances_N,grela_instances_N
2414,Separatio per abscessum,separatio per abscessum,separatio per abscessus,3,1,0,4
2410,Semen Veneris,semen ueneris,semen uenus,3,3,0,6
842,Caput pili,caput pili,caput pilum,3,13,14,30
278,Alcol,alcol,alcol,3,6,3,12
2531,Stiriae,stiriae,stiriae,3,29,73,105
2542,Sublimatio per distantiam,sublimatio per distantiam,sublimatio per distantia,3,1,0,4
267,Alcanna,alcanna,alcanna,3,84,0,87
2550,Succus albus,succus albus,succus albus,3,14,3,20
2450,Sinonia,sinonia,sinonia,3,8,10,21
2490,Sphaera solis,sphaera solis,sphaera sol,3,22,45,70
2466,Soleae,soleae,soleae,3,107,53,163
869,Catillus ferreus,catillus ferreus,catillus ferreus,3,13,0,16
118,Siphones,siphones,siphones,3,42,8,53
2077,Penates,penates,penates,3,122,1282,1407
2054,Oxy,oxy,oxy,3,21,7,31
2190,Quars,quars,quars,3,12,2,17
2197,Quinta essentia animalium,quinta essentia animalium,quintus essentia animal,3,2,0,5
2085,Pertica,pertica,pertica,3,475,767,1245
2037,Orizeum,orizeum,orizeum,3,12,0,15
321,Alkalia,alkalia,alkalia,3,30,0,33
1499,Harmel,harmel,harmel,2,47,0,49
1213,Elome,elome,elome,2,2,0,4
1500,Haro,haro,haro,2,53,16,71
165,Acureb,acureb,acureb,2,2,0,4
1497,Hara,hara,hara,2,100,232,334
1481,Guma cupri,guma cupri,guma cuprum,2,2,0,4
52,Calx peregrinorum,calx peregrinorum,calx peregrinus,2,7,0,9
2566,Supernas,supernas,supernas,2,37,201,240
851,Carsia,carsia,carsia,2,2,1,5
2576,Syrenes,syrenes,syrenes,2,13,70,85
1206,Elesmatis,elesmatis,elesmatis,2,2,0,4
2763,Vncam,uncam,uncam,2,4,3,9
1441,Gersa,gersa,gersa,2,8,27,37
1625,Kumen,kumen,kumen,2,3,2,7
240,Alafor,alafor,alafor,2,4,0,6
1566,Inanimati,inanimati,inanimati,2,10,79,91
550,Aseph,aseph,aseph,2,2,0,4
1629,Kymia,kymia,kymia,2,4,0,6
561,Assos,assos,assos,2,29,40,71
570,Atanor,atanor,atanor,2,4,0,6
1547,Ignis sapientum,ignis sapientum,ignis sapiens,2,2,0,4
207,Aes caldarium,aes caldarium,aes caldarium,2,9,0,11
91,Magra,magra,magra,2,23,21,46
1553,Iliaster primus,iliaster primus,iliaster primus,2,2,0,4
245,Alartar,alartar,alartar,2,2,0,4
2788,Ycar,ycar,ycar,2,2,0,4
1172,Duenege,duenege,duenege,2,2,0,4
2553,Suffo,suffo,suffo,2,13,10,25
1151,Discus solis,discus solis,discus sol,2,32,6,40
2547,Succina liquida,succina liquida,succinum liquidus,2,1,2,5
1556,Iliaster tertius,iliaster tertius,iliaster tertius,2,3,0,5
1184,Echidna,echidna,echidna,2,22,37,61
67,Filius vnius diei,filius unius diei,filius unius dies,2,10,0,12
1350,Fons Philosophorum,fons philosophorum,fons philosophus,2,5,1,8
1243,Etesiae,etesiae,etesiae,2,77,77,156
1244,Ethees,ethees,ethees,2,1,0,3
2664,Toruscula,toruscula,toruscula,2,7,0,9
151,Acartum,acartum,acartum,2,3,0,5
1457,Gladialis,gladialis,gladialis,2,3,5,10
2659,Titar,titar,titar,2,2,0,4
1223,Endica,endica,endica,2,4,0,6
2728,Vermiculum,uermiculum,uermiculum,2,130,55,187
609,Axungia de mumia,axungia de mumia,axungia de mumia,2,4,0,6
2738,Vinum essatum,uinum essatum,uinum esso,2,4,0,6
1297,Fex vitri,fex uitri,fex uitrum,2,4,0,6
1268,Facinum,facinum,facinum,2,7,8,17
2737,Vinum correctum,uinum correctum,uinum corricio,2,4,0,6
1321,Flagae,flagae,flagae,2,2,6,10
1450,Gipsum,gipsum,gipsum,2,21,26,49
61,Elidrium,elidrium,elidrium,2,4,0,6
694,Bolesis,bolesis,bolesis,2,2,0,4
1376,Fugile,fugile,fugile,2,3,2,7
122,Subtilatio,subtilatio,subtilatio,2,3,0,5
2610,Terra ampelitis,terra ampelitis,terra ampelo,2,21,2,25
2598,Telon,telon,telon,2,11,36,49
684,Bitrinati,bitrinati,bitrinati,2,1,0,3
2602,Temperatura secunda,temperatura secunda,temperatura secundus,2,2,0,4
2638,Tifacoum,tifacoum,tifacoum,2,2,0,4
182,Adho,adho,adho,2,84,11,97
622,Azem,azem,azem,2,4,0,6
636,Bacar,bacar,bacar,2,5,30,37
189,Adorat,adorat,adorat,2,53,1233,1288
172,Adarnech,adarnech,adarnech,2,2,0,4
700,Borax petrosa,borax petrosa,borax petrosus,2,3,0,5
1402,Furnus dissolutorius,furnus dissolutorius,furnus dissolutorus,2,1,0,3
2192,Quartura,quartura,quartura,2,3,0,5
2194,Quebrit,quebrit,quebrit,2,2,0,4
422,Amassa,amassa,amassa,2,2,0,4
439,Ancora,ancora,ancora,2,73,703,778
2225,Recha,recha,recha,2,4,19,25
386,Alumen Alexandrinum,alumen alexandrinum,alumen alexandrinus,2,1,0,3
1933,Mumia elementorum,mumia elementorum,mumia elementum,2,5,0,7
1930,Mulae,mulae,mulae,2,117,153,272
2227,Recrementa ferri,recrementa ferri,recrementum fero,2,9,0,11
74,Hal,hal,hal,2,2042,71,2115
345,Almarcat,almarcat,almarcat,2,2,0,4
332,Alkitram,alkitram,alkitram,2,3,0,5
1946,Mustus,mustus,mustus,2,37,849,888
1890,Metallum currens,metallum currens,metallum curro,2,6,1,9
2269,Sabon,sabon,sabon,2,3,1,6
2295,Sal graecum,sal graecum,sal graecus,2,3,0,5
1882,Mercurius laxus,mercurius laxus,mercurius laxus,2,4,0,6
2288,Sal congelatum,sal congelatum,sal congelo,2,7,1,10
1824,Marich,marich,marich,2,1,2,5
2282,Sal aluminosum,sal aluminosum,sal aluminosus,2,6,0,8
1936,Mumia versa,mumia uersa,mumia uerto,2,4,0,6
394,Alumen de pluma,alumen de pluma,alumen de pluma,2,3,0,5
392,Alumen de Babylonia,alumen de babylonia,alumen de babylonia,2,1,0,3
390,Alumen crepum,alumen crepum,alumen crepus,2,1,0,3
2021,Ophites,ophites,ophites,2,113,39,154
410,Alunibur,alunibur,alunibur,2,2,0,4
2058,Palos,palos,palos,2,97,190,289
2061,Panes aeris fathiscentes,panes aeris fathiscentes,panis aer fathiscens,2,2,0,4
2093,Phibit,phibit,phibit,2,3,0,5
2036,Oriza,oriza,oriza,2,83,39,124
1954,Napta,napta,napta,2,8,16,26
2084,Perpurgare,perpurgare,perpurgare,2,9,19,30
2038,Orizeum foliatum,orizeum foliatum,orizeus foliatus,2,4,0,6
2004,Oleum ex assatione,oleum ex assatione,oleum ex assatio,2,2,0,4
371,Altimar,altimar,altimar,2,6,2,10
2012,Olympicus spiritus,olympicus spiritus,olympicus spiritus,2,4,0,6
2008,Oleum stillatitium descensorium,oleum stillatitium descensorium,oleum stillatitium descensorius,2,1,0,3
2007,Oleum palestinum,oleum palestinum,oleum palestinus,2,3,0,5
363,Alramudi,alramudi,alramudi,2,2,0,4
1956,Nar,nar,nar,2,183,93,278
2165,Purgator argenti,purgator argenti,purgo argentum,2,10,4,16
2045,Os fornacis,os fornacis,os fornax,2,30,17,49
2422,Seraphin,seraphin,seraphin,2,19,586,607
2415,Separatio per abstractionem,separatio per abstractionem,separatio per abstractio,2,1,0,3
2411,Semperuiuo,semperuiuo,semperuiuo,2,31,3,36
226,Afragar,afragar,afragar,2,2,0,4
271,Alchahest,alchahest,alchahest,2,4,0,6
449,Annora,annora,annora,2,5,1,8
262,Albuhar,albuhar,albuhar,2,1,0,3
2454,Sira,sira,sira,2,32,25,59
2461,Smirius,smirius,smirius,2,7,2,11
261,Albotim,albotim,albotim,2,3,0,5
2433,Sibar,sibar,sibar,2,5,0,7
518,Aremaros,aremaros,aremaros,2,1,0,3
532,Arohot,arohot,arohot,2,2,0,4
2462,Smyris,smyris,smyris,2,17,4,23
1638,Lac papaueris,lac papaueris,lac papauer,2,6,0,8
2520,Stella terrae,stella terrae,stella terra,2,20,3,25
1658,Laos,laos,laos,2,9,713,724
1601,Kaib,kaib,kaib,2,2,0,4
2507,Sputum boletorum,sputum boletorum,sputus boletus,2,3,0,5
249,Albani,albani,albani,2,67,654,723
2444,Silipit,silipit,silipit,2,2,0,4
313,Alima,alima,alima,2,26,3,31
309,Algali,algali,algali,2,4,0,6
299,Alexir,alexir,alexir,2,2,0,4
1842,Materia dispersa,materia dispersa,materia dispergo,2,1,3,6
2274,Sagani,sagani,sagani,2,8,5,15
2332,Sanc,sanc,sanc,2,22,74,98
2320,Salamandri,salamandri,salamandri,2,7,0,9
2304,Sal nominis,sal nominis,sal nomen,2,7,3,12
1797,Magisterium qualitatis manifestae,magisterium qualitatis manifestae,magisterium qualitas manifestus,2,1,0,3
1776,Lyncurius,lyncurius,lyncurius,2,101,8,111
1791,Magisterium odoris,magisterium odoris,magisterium odor,2,1,0,3
1790,Magisterium consistentiae,magisterium consistentiae,magisterium consistentia,2,1,0,3
1802,Magisterium volatilium,magisterium uolatilium,magisterium uolatilis,2,1,0,3
2309,Sal practicum,sal practicum,sal practicus,2,4,0,6
1799,Magisterium saporis,magisterium saporis,magisterium sapor,2,1,0,3
1819,Marcasita plumbea,marcasita plumbea,marcasita plumbeus,2,3,0,5
2383,Scuma,scuma,scuma,2,5,1,8
2385,Seb,seb,seb,2,736,41,779
1769,Lustum,lustum,lustum,2,25,9,36
2372,Schistum,schistum,schistum,2,47,2,51
1793,Magisterium ponderis,magisterium ponderis,magisterium pondus,2,1,1,4
1137,Diamascien,diamascien,diamascien,2,1,0,3
786,Calor fortis,calor fortis,calor fortis,2,8,29,39
787,Calor impeditus,calor impeditus,calor impedio,2,8,5,15
1,Baurac,baurac,baurac,2,35,0,37
2798,Ysopus,ysopus,ysopus,2,13,87,102
2753,Vitriolum nouum,uitriolum nouum,uitriolum nouus,2,4,0,6
2796,Ysir,ysir,ysir,2,1,0,3
1098,Daniti,daniti,daniti,2,2,0,4
1135,Destillatio per inclinationem,destillatio per inclinationem,destillatio per inclinatio,2,2,0,4
830,Capistrum auri,capistrum auri,capistrum aurum,2,9,0,11
1148,Discessus fit,discessus fit,discessus fio,2,1,0,3
2840,Fibula ferrea,fibula ferrea,fibula ferreus,2,35,2,39
1101,Daran,daran,daran,2,41,11,54
962,Citrinulus,citrinulus,citrinulus,2,6,0,8
994,Coleritium,coleritium,coleritium,2,6,0,8
50,Buccellare,buccellare,buccellare,2,2,2,6
28,Nora,nora,nora,2,110,37,149
992,Cohos,cohos,cohos,2,5,0,7
916,Chambar,chambar,chambar,2,6,0,8
1087,Cydar,cydar,cydar,2,4,3,9
1004,Cometz,cometz,cometz,2,3,0,5
1000,Coloratio per ablutionem,coloratio per ablutionem,coloratio per ablutio,2,2,0,4
999,Coloratio externa,coloratio externa,coloratio externus,2,1,0,3
1089,Cymolia,cymolia,cymolia,2,5,0,7
810,Cambuca,cambuca,cambuca,2,4,8,14
1798,Magisterium qualitatis occultae,magisterium qualitatis occultae,magisterium qualitas occultus,2,1,0,3
727,Busta,busta,busta,2,65,633,700
672,Berillistica,berillistica,berillistica,2,3,0,5
2823,Zerci,zerci,zerci,2,1,0,3
2844,Nebulgea,nebulgea,nebulgea,2,2,0,4
1106,Decumanus,decumanus,decumanus,2,104,521,627
705,Botium,botium,botium,2,15,0,17
1095,Dactiletus,dactiletus,dactiletus,2,2,0,4
1482,Gumicula,gumicula,gumicula,1,4,0,5
709,Boxus,boxus,boxus,1,7,0,8
1480,Guarini,guarini,guarini,1,22,147,170
2633,Thisma,thisma,thisma,1,4,0,5
1077,Cuperosum,cuperosum,cuperosum,1,6,0,7
769,Calcitis,calcitis,calcitis,1,8,0,9
2246,Reuerberatio aperta,reuerberatio aperta,reuerberatio aperio,1,1,0,2
1934,Mumia medullae,mumia medullae,mumia medullus,1,2,0,3
2548,Succubus,succubus,succubus,1,21,12,34
472,Aqua cerebri,aqua cerebri,aqua cerebrum,1,4,0,5
1063,Crystallus lapis,crystallus lapis,crystallus lapis,1,7,2,10
763,Calcinatum minus,calcinatum minus,calcinatus parum,1,4,0,5
961,Citrinulorum,citrinulorum,citrinulorum,1,2,0,3
1117,Demensum,demensum,demensum,1,23,45,69
960,Citrinula,citrinula,citrinula,1,3,0,4
761,Calcinatio specialiter dicta,calcinatio specialiter dicta,calcinatio specialiter dico,1,1,0,2
906,Cerober,cerober,cerober,1,1,0,2
1473,Granum viride,granum uiride,granum uiridis,1,18,0,19
2297,Sal Indicus,sal indicus,sal indicus,1,6,0,7
1850,Matrices rerum omnium,matrices rerum omnium,matrix res omnis,1,1,0,2
170,Adamita,adamita,adamita,1,5,4,10
180,Ader,ader,ader,1,95,94,190
1853,Mechanopeotica,mechanopeotica,mechanopeotica,1,2,0,3
1018,Congluten,congluten,congluten,1,4,0,5
2240,Resina terrae potabilis,resina terrae potabilis,resina terra potabilis,1,3,0,4
772,Caldar,caldar,caldar,1,5,4,10
1831,Marmoreus tartarus,marmoreus tartarus,marmoreus tartarus,1,3,0,4
1833,Martach,martach,martach,1,4,0,5
599,Aurum latus,aurum latus,aurum latus,1,1,6,8
237,Alabastrites,alabastrites,alabastrites,1,73,26,100
547,Ased,ased,ased,1,10,1,12
1351,Foramen fistularum,foramen fistularum,foramen fistula,1,16,5,22
546,Asaphatum,asaphatum,asaphatum,1,4,0,5
2250,Rillus,rillus,rillus,1,17,2,20
2551,Succutere,succutere,succutere,1,4,3,8
2238,Resina auri,resina auri,resina aurum,1,2,0,3
1864,Melech,melech,melech,1,10,59,70
1434,Gemma tartarea,gemma tartarea,gemma tartareus,1,2,0,3
204,Aerugo aeris,aerugo aeris,aerugo aer,1,25,4,30
1867,Melitites,melitites,melitites,1,40,6,47
2594,Tassus,tassus,tassus,1,26,10,37
2563,Summa operatio,summa operatio,summus operatio,1,1,12,14
1378,Fuligo metallorum,fuligo metallorum,fuligo metallum,1,4,0,5
2592,Tartar,tartar,tartar,1,88,93,182
2604,Tenacitas glutinis,tenacitas glutinis,tenacitas glutinum,1,4,0,5
454,Anotasier,anotasier,anotasier,1,2,0,3
1859,Mela,mela,mela,1,999,452,1452
1061,Cruor salis,cruor salis,cruor sal,1,3,0,4
2619,Terra fidelis,terra fidelis,terra fidelis,1,3,51,55
2220,Rebisola,rebisola,rebisola,1,3,0,4
2218,Rastrum,rastrum,rastrum,1,60,340,401
1902,Minerale vas,minerale uas,mineralis uas,1,1,0,2
1905,Missadan,missadan,missadan,1,2,0,3
1114,Deliquium in aere,deliquium in aere,deliquium in aes,1,3,0,4
1399,Furnus catini,furnus catini,furnus catinum,1,1,0,2
1375,Frondes lauri,frondes lauri,frons laurus,1,6,6,13
1444,Gibar,gibar,gibar,1,5,0,6
467,Aphrodisia,aphrodisia,aphrodisia,1,27,31,59
2574,Syphita praua,syphita praua,syphitus prauus,1,3,0,4
2575,Syphita stricta,syphita stricta,syphitus stringo,1,3,0,4
897,Cepa porci,cepa porci,cepa porcus,1,4,0,5
1456,Glacies dura,glacies dura,glacies durus,1,6,7,14
637,Bacilla ferrea,bacilla ferrea,bacillum ferreus,1,51,1,53
1825,Marmora candida,marmora candida,marmor candidus,1,13,53,67
159,Acetum radicale,acetum radicale,acetum radicalis,1,2,0,3
1427,Gelion,gelion,gelion,1,3,1,5
1462,Glutinis tenacitas,glutinis tenacitas,glutinum tenacitas,1,4,0,5
1884,Mercurius regeneratus,mercurius regeneratus,mercurius regenero,1,4,0,5
1420,Gamathei,gamathei,gamathei,1,1,0,2
1115,Deliquium vaporosum,deliquium uaporosum,deliquium uaporosus,1,2,0,3
1418,Galaxia,galaxia,galaxia,1,147,66,214
206,Aes abstractum,aes abstractum,aes abstraho,1,3,0,4
2222,Rebona,rebona,rebona,1,4,0,5
1343,Foedula,foedula,foedula,1,4,0,5
1428,Geluta,geluta,geluta,1,5,0,6
1892,Metallum malleo,metallum malleo,metallum malleus,1,3,1,5
1036,Cor suffla,cor suffla,cor sufflo,1,1,0,2
882,Cauernosum,cauernosum,cauernosum,1,33,20,54
450,Annus philosophicus,annus philosophicus,annus philosophicus,1,5,0,6
919,Chaomantia,chaomantia,chaomantia,1,4,0,5
452,Anontagius,anontagius,anontagius,1,4,0,5
502,Arbor maris,arbor maris,arbor mare,1,8,0,9
1600,Kachimia,kachimia,kachimia,1,3,0,4
227,Africus,africus,africus,1,284,2010,2295
504,Arcanum materiale,arcanum materiale,arcanus materialis,1,1,0,2
495,Aqua vitri,aqua uitri,aqua uitrum,1,12,2,15
945,Cinificatum,cinificatum,cinificatum,1,4,0,5
498,Aquila philosophorum,aquila philosophorum,aquila philosophus,1,5,0,6
2312,Sal sapientum,sal sapientum,sal sapiens,1,5,0,6
285,Alcubrith,alcubrith,alcubrith,1,4,0,5
491,Aqua Saturnia,aqua saturnia,aqua saturnia,1,4,0,5
892,Cementum autem,cementum autem,cementum autem,1,2,1,4
1618,Kibrith,kibrith,kibrith,1,5,0,6
274,Alchitran,alchitran,alchitran,1,1,3,5
2331,Samen,samen,samen,1,337,15,353
2326,Sallena,sallena,sallena,1,3,0,4
1745,Liquor aquilegius,liquor aquilegius,liquor aquilegus,1,4,0,5
2313,Sal scissum,sal scissum,sal scindo,1,5,0,6
2390,Secretor,secretor,secretor,1,32,0,33
2341,Sanguis calcetus,sanguis calcetus,sanguis calcetus,1,3,0,4
674,Berna,berna,berna,1,118,65,184
1692,Lapis facile,lapis facile,lapis facilis,1,18,10,29
677,Besachar,besachar,besachar,1,3,0,4
2387,Sebel,sebel,sebel,1,22,3,26
1664,Lapidis Albedo,lapidis albedo,lapis albedo,1,1,3,5
2349,Sardonyx,sardonyx,sardonyx,1,187,65,253
1630,Kymit eleuatum,kymit eleuatum,cymit eleuo,1,4,0,5
1669,Lapidis nigredo,lapidis nigredo,lapis nigredo,1,1,0,2
2306,Sal perrae,sal perrae,sal perra,1,1,0,2
1721,Lephante,lephante,lephante,1,3,0,4
729,Butyrum Saturni,butyrum saturni,butyrum saturnus,1,4,0,5
2355,Saxa arenaria,saxa arenaria,saxum arenarius,1,11,0,12
1710,Leffa,leffa,leffa,1,3,0,4
481,Aqua lubricata,aqua lubricata,aqua lubrico,1,4,2,7
1717,Lentiscus arbor,lentiscus arbor,lentiscus arbor,1,6,1,8
1644,Lacune,lacune,lacune,1,8,6,15
884,Caurus,caurus,caurus,1,126,508,635
730,Cab,cab,cab,1,241,56,298
1652,Lamina ferrea crassa,lamina ferrea crassa,lamina ferreus crassus,1,3,0,4
2417,Separatio per dilutionem,separatio per dilutionem,separatio per dilutio,1,1,0,2
2345,Sapo sapientiae,sapo sapientiae,sapo sapientia,1,3,0,4
1544,Ignis leonis,ignis leonis,ignis leo,1,5,12,18
1555,Iliaster secundus,iliaster secundus,iliaster secundus,1,3,0,4
818,Canalis transuersus,canalis transuersus,canalis transuerto,1,34,1,36
1814,Mandibularum liquor,mandibularum liquor,mandibula liquor,1,3,0,4
1815,Mangonaria,mangonaria,mangonaria,1,3,0,4
1550,Ilech primum,ilech primum,ilech primum,1,2,0,3
1563,Impurum alcali,impurum alcali,impurus alcalis,1,3,0,4
1507,Helebria,helebria,helebria,1,3,0,4
1506,Hel,hel,hel,1,162,81,244
1807,Magnetinus tartarus,magnetinus tartarus,magnetinus tartarus,1,3,0,4
1747,Liquor herbarum,liquor herbarum,liquor herba,1,3,1,5
1513,Hemicyclium,hemicyclium,hemicyclium,1,46,46,93
1813,Mandella,mandella,mandella,1,4,0,5
2290,Sal enixum,sal enixum,sal enigo,1,6,0,7
1800,Magisterium sensilium proprium,magisterium sensilium proprium,magisterium sensilis proprius,1,1,0,2
1523,Humoris receptaculum,humoris receptaculum,humor receptaculum,1,9,14,24
1002,Colosonia,colosonia,colosonia,1,2,0,3
1013,Confirmamentum,confirmamentum,confirmamentum,1,3,1,5
2287,Sal colcotharinum,sal colcotharinum,sal colcotharinus,1,3,0,4
1795,Magisterium puluerum,magisterium puluerum,magisterium puluis,1,1,0,2
1477,Gruma,gruma,gruma,1,3,13,17
1516,Hinnicula,hinnicula,hinnicula,1,1,2,4
1576,Indicus color,indicus color,indicus color,1,9,7,17
2457,Sirones,sirones,sirones,1,6,0,7
2458,Sirza,sirza,sirza,1,3,0,4
1729,Ligna in saxa,ligna in saxa,lignum in saxum,1,6,2,9
913,Chalcopyrites,chalcopyrites,chalcopyrites,1,2,0,3
2442,Silex lapis,silex lapis,silex lapis,1,1,4,6
1787,Magia metaphysica,magia metaphysica,magia metaphysica,1,2,0,3
2430,Serpheta,serpheta,serpheta,1,4,0,5
1534,Idam,idam,idam,1,48,144,193
555,Assaliae,assaliae,assaliae,1,4,0,5
1546,Ignis pruinus adeptus,ignis pruinus adeptus,ignis pruinus adipiscor,1,4,0,5
1777,Macha,macha,macha,1,15,42,58
2488,Sperma aquae fortis,sperma aquae fortis,sperma aqua fortis,1,3,0,4
1779,Machina aquas,machina aquas,machina aqua,1,9,7,17
562,Asterites,asterites,asterites,1,9,4,14
315,Aliocab,aliocab,aliocab,1,7,0,8
2482,Spaul,spaul,spaul,1,2,0,3
1767,Lumbrici nitri,lumbrici nitri,lumbricus nitrum,1,4,0,5
1768,Luna compacta,luna compacta,luna compactus,1,5,0,6
2477,Spara,spara,spara,1,10,11,22
1759,Lorcha,lorcha,lorcha,1,4,0,5
1549,Ilech crudum,ilech crudum,ilech crudus,1,2,0,3
554,Assala,assala,assala,1,7,0,8
1959,Nardinum oleum,nardinum oleum,nardinus oleum,1,4,3,8
848,Carena,carena,carena,1,16,65,82
1267,Fabiola,fabiola,fabiola,1,14,50,65
663,Batitura aeris,batitura aeris,batiturus aer,1,6,0,7
1972,Nitron,nitron,nitron,1,25,10,36
1971,Nitriales,nitriales,nitriales,1,3,0,4
103,Nuba,nuba,nuba,1,45,43,89
2129,Popanax,popanax,popanax,1,5,0,6
2094,Phionitides,phionitides,phionitides,1,3,0,4
785,Calor flammarum,calor flammarum,calor flamma,1,5,24,30
1993,Ochra Attica,ochra attica,ochro atticus,1,4,0,5
1966,Nenufareni,nenufareni,nenufareni,1,2,0,3
650,Balsamus de mumiis,balsamus de mumiis,balsamus de mumia,1,3,0,4
2158,Pulpezia,pulpezia,pulpezia,1,3,0,4
1155,Diuertallum,diuertallum,diuertallum,1,4,0,5
2070,Particulae eminentes,particulae eminentes,particula eminens,1,6,0,7
94,Mensor,mensor,mensor,1,121,301,423
1128,Derses,derses,derses,1,6,0,7
987,Coementum,coementum,coementum,1,17,20,38
2028,Orale,orale,orale,1,3,10,14
660,Basiliscus minor,basiliscus minor,basiliscus minor,1,3,0,4
2666,Trachsat,trachsat,trachsat,1,3,0,4
1150,Discretores,discretores,discretores,1,12,4,17
2779,Vulsella,uulsella,uulsella,1,18,13,32
1924,Morbilli,morbilli,morbilli,1,104,6,111
2780,Vulturnus,uulturnus,uulturnus,1,83,144,228
2106,Pinguedinosa,pinguedinosa,pinguedinosa,1,22,0,23
986,Coelum philosophorum vocatur,coelum philosophorum uocatur,coelum philosophus uoco,1,1,0,2
2688,Turbith intelligeret,turbith intelligeret,turbith intellego,1,1,0,2
1086,Cycima,cycima,cycima,1,4,0,5
2080,Perdettae,perdettae,perdettae,1,3,0,4
2810,Zarnec,zarnec,zarnec,1,2,0,3
2743,Viscaleus,uiscaleus,uiscaleus,1,6,0,7
412,Alusar,alusar,alusar,1,4,0,5
695,Bolus dicitur lutum,bolus dicitur lutum,bolus dico lutum,1,3,0,4
401,Alumen marinum,alumen marinum,alumen marinus,1,1,2,4
2744,Viscus proprie,uiscus proprie,uiscus proprie,1,1,1,3
2698,Vas minus,uas minus,uas parum,1,19,8,28
976,Coagulatio per segregationem,coagulatio per segregationem,coagulatio per segregatio,1,2,0,3
2167,Pusta,pusta,pusta,1,6,2,9
639,Bacillum ferreum,bacillum ferreum,bacillum ferreus,1,51,1,53
2745,Viscus secundae generationis,uiscus secundae generationis,uiscus secundus generatio,1,4,0,5
857,Cassatum,cassatum,cassatum,1,4,78,83
2081,Perdonium,perdonium,perdonium,1,4,0,5
737,Cacedonium tartarum,cacedonium tartarum,cacedonius tarta,1,3,0,4
1963,Necrocomica,necrocomica,necrocomica,1,2,0,3
1999,Oleitas rerum,oleitas rerum,oleitas res,1,3,0,4
2736,Viltrum Philosophorum,uiltrum philosophorum,uiltrum philosophus,1,4,0,5
2706,Vena solida,uena solida,uena solidus,1,4,0,5
1142,Diatessadelton,diatessadelton,diatessadelton,1,2,0,3
404,Alumen rosa,alumen rosa,alumen rosa,1,1,0,2
774,Caleruth,caleruth,caleruth,1,2,0,3
1192,Edir,edir,edir,1,4,2,7
800,Calx lignorum,calx lignorum,calx lignum,1,4,0,5
2784,Xeni,xeni,xeni,1,3,2,6
2681,Truphat,truphat,truphat,1,4,0,5
2062,Panes ex Pyrite,panes ex pyrite,panis ex pyriet,1,15,0,16
1237,Essarae,essarae,essarae,1,3,0,4
2669,Trarames,trarames,trarames,1,3,0,4
436,Anatris,anatris,anatris,1,3,2,6
937,Cibur,cibur,cibur,1,4,0,5
2628,Thaphneus,thaphneus,thaphneus,1,4,0,5
1233,Erodinium,erodinium,erodinium,1,3,0,4
318,Alkale,alkale,alkale,1,2,0,3
1239,Essatum vinum,essatum uinum,esso uinum,1,4,0,5
2060,Pandalitium,pandalitium,pandalitium,1,3,0,4
1119,Demetiri,demetiri,demetiri,1,8,0,9
2144,Prasis,prasis,prasis,1,19,6,26
1241,Essodinum,essodinum,essodinum,1,3,0,4
1319,Fissuras agere,fissuras agere,findo ago,1,9,0,10
445,Aniada,aniada,aniada,1,2,0,3
2805,Zaidir,zaidir,zaidir,1,2,0,3
1242,Esthiomenus,esthiomenus,esthiomenus,1,12,0,13
1124,Denses,denses,denses,1,8,9,18
1230,Epipolasis humida,epipolasis humida,epipolasus humidus,1,1,0,2
442,Andena,andena,andena,1,5,6,12
2202,Rabeboia,rabeboia,rabeboia,1,1,0,2
1122,Denodatio,denodatio,denodatio,1,2,0,3
2804,Zaibar,zaibar,zaibar,1,4,0,5
2032,Ordoleum,ordoleum,ordoleum,1,2,0,3
2034,Organopeotica,organopeotica,organopeotica,1,3,0,4
430,Amnis alcalisatus,amnis alcalisatus,amnis alcaliso,1,4,0,5
651,Balsamus elementorum externus,balsamus elementorum externus,balsamus elementum externus,1,3,0,4
380,Aluis,aluis,aluis,1,21,17,39
2154,Pruinum,pruinum,pruinum,1,7,0,8
2119,Plumbum candidum purissimum,plumbum candidum purissimum,plumbum candidus purus,1,2,0,3
2769,Vnitas Trithemii,unitas trithemii,unitas trithemius,1,2,0,3
863,Cathimia,cathimia,cathimia,1,11,0,12
683,Bisematum,bisematum,bisematum,1,3,0,4
2039,Orizeum praecipitatum,orizeum praecipitatum,orizeus praecipito,1,3,0,4
427,Amianthus lapis,amianthus lapis,amianthus lapis,1,11,0,12
796,Calx assata,calx assata,calx asso,1,2,0,3
2063,Panis argenteus,panis argenteus,panis argenteus,1,11,1,13
2783,Xenechtum,xenechtum,xenechtum,1,4,0,5
1227,Enur,enur,enur,1,8,0,9
1144,Dienez,dienez,dienez,1,3,0,4
302,Alfadidam,alfadidam,alfadidam,0,1,0,1
2121,Plumbum diues,plumbum diues,plumbum diues,0,3,0,3
2120,Plumbum depauperarum,plumbum depauperarum,plumbum depaupera,0,1,0,1
255,Albetad,albetad,albetad,0,2,0,2
914,Chalcos,chalcos,chalcos,0,7,33,40
310,Algemet,algemet,algemet,0,3,0,3
312,Aligulus,aligulus,aligulus,0,4,0,4
254,Albeston,albeston,albeston,0,2,0,2
260,Albotat,albotat,albotat,0,2,0,2
2130,Poponac,poponac,poponac,0,1,0,1
2126,Pompholix lutea,pompholix lutea,pompholix luteus,0,1,0,1
