,Lemma,target_canonical,target_relemmatized,emlap_instances_N,noscemus_instances_N,cc_instances_N,grela_instances_N
620,Azeg,azeg,azeg,0,5,0,5
619,Azeff,azeff,azeff,0,1,0,1
618,Azedegim,azedegim,azedegim,0,2,0,2
1423,Gatrinum,gatrinum,gatrinum,0,2,0,2
616,Azci,azci,azci,0,1,0,1
615,Azarnet,azarnet,azarnet,0,2,0,2
614,Azanec,azanec,azanec,0,2,0,2
628,Azob,azob,azob,0,2,1,3
627,Azius,azius,azius,0,7,3,10
625,Azernec,azernec,azernec,0,2,0,2
624,Azensali,azensali,azensali,0,2,0,2
623,Azemasor,azemasor,azemasor,0,1,0,1
1116,"Dem, dehin","dem, dehin",do dehin,0,0,0,0
635,Azymar,azymar,azymar,0,3,0,3
634,Azuric,azuric,azuric,0,2,0,2
617,Azec,azec,azec,0,2,0,2
1422,Gasar,gasar,gasar,0,1,0,1
1058,Crocus aurichalcum,crocus aurichalcum,crocus aurichalcum,0,1,0,1
1436,Gemmae Rubetarum,gemmae rubetarum,gemma rubeta,0,1,0,1
1435,Gemmae Cerauniae,gemmae cerauniae,gemma ceraunius,0,1,2,3
1433,Gemma Prasius,gemma prasius,gemma prasius,0,1,0,1
1432,Gemma Opalus,gemma opalus,gemma opalus,0,1,0,1
1431,Gemma Iris,gemma iris,gemma ira,0,0,2,2
1430,Gemma ex araneo,gemma ex araneo,gemma ex araneus,0,1,0,1
1381,Fulturae natiuae,fulturae natiuae,fultura natiuus,0,3,0,3
1379,Fulme,fulme,fulme,0,1,2,3
1060,Crucus flos,crucus flos,crucus flos,0,1,0,1
1111,Dehenez,dehenez,dehenez,0,2,0,2
